"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav"
"285" 5600010 1 2 0 6 0 -0.9598 -0.4415 0.2907 0.9091 0.171 1.1793 1.1605 1.1237 -1.415 -0.6576 1 100 100 100 415.283 370.009 403.651 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"286" 5600010 1 1 2 6 0 0.7405 -0.9024 -0.7823 2.2211 1.8415 -0.1357 2.0111 1.4922 -0.3971 -1.7696 1 250 200 150 569.602 423.912 489.806 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"287" 5600010 1 2 3 6 1 -0.687 -0.9298 1.1625 0.1222 0.2874 -0.4903 -0.1845 0.5546 -1.1481 -1.0657 1 250 200 100 409.431 479.915 415.901 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"288" 5600010 1 1 0 4 1 -0.0845 -0.3202 -0.7823 0.6812 -0.4961 -0.1295 2.2909 -0.6416 -1.7418 0.2169 2 0 0 0 384.072 293.549 322.101 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"289" 5600010 1 1 0 4 0 -0.9295 -0.6659 0.2907 -0.2968 -0.4961 -0.4903 -0.3601 -0.5593 0.7628 -0.6576 0 150 200 0 569.808 502.804 571.456 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"290" 5600010 1 2 2 4 1 -1.8939 0.028 -0.7823 0.0668 -0.4463 -0.1357 0.8133 -0.719 -0.7968 1.0346 2 0 0 0 355.481 350.066 401.051 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"291" 5600010 1 1 0 4 0 -0.687 0.3241 -0.7823 0.5808 0.4713 1.1793 0.2148 -0.0886 0.7628 -0.6576 0 100 100 100 473.112 477.433 489.69 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"293" 5600010 1 1 0 5 1 -1.1858 -0.5552 1.1928 -0.1403 -1.8696 0.1806 0.3327 0.4496 -0.3374 -0.6576 2 250 200 0 447.398 369.766 462.365 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"295" 5600010 1 1 2 4 0 0.052 -1.0056 -0.7823 -0.0335 -0.5946 -1.2263 0.5631 0.1952 0.4394 0.3622 1 150 200 0 461.836 368.537 365.233 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"296" 5600010 1 1 0 4 0 -0.9295 -0.1596 0.8615 -1.1639 -0.4961 0.1806 -1.5469 -1.1633 0.7628 -1.0657 1 150 200 0 529.325 516.68 545.721 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"297" 5600010 1 1 2 6 0 -0.2006 0.4503 1.1625 0.4069 0.0232 -0.1357 0.4597 0.8325 -0.7074 -1.0657 1 250 200 0 492.378 340.534 483.639 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"298" 5600010 1 1 0 6 1 -1.8939 0.4766 -0.7823 1.7651 1.8415 1.1793 1.2076 1.6008 1.314 0.3657 0 250 200 100 554.86 546.96 549.055 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"299" 5600010 1 1 1 3 0 0.052 0.3018 1.1625 -0.0781 -0.2704 0.031 0.0373 -0.482 -0.7857 -1.0657 0 300 300 0 536.525 473.866 581.642 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
"300" 5600010 0 2 2 5 1 -0.687 -0.9879 -0.7823 -0.4973 0.0232 -0.9386 -0.3161 -0.9578 -0.6262 -0.6576 1 100 0 0 412.696 314.211 396.839 13 5.2286 -1.4212 -0.5869 0.8852 0.5995
